id_filosofo,nome,definicao_de_ciencia,resumo,fonte,biografia,responsavel,possui_criterio_demarcacao
F01,Alfred Jules Ayer,"Ayer defende que uma afirmação tem significado(é um conhecimento científico(ciência)) se for de uma das classes de afirmações:

Afirmações analíticas: são afirmações que são tautologias, ou seja, são necessariamente verdadeiras por definição. Por exemplo, declarações matemáticas válidas.

Afirmações sintéticas(proposições empíricas): afirmações ou negações sobre algo do mundo real, que não são confirmadas apenas por definições e, portanto, necessitam ser testadas empiricamente para sua verificação. Por exemplo, declarações físicas.

Proposições são afirmações em que existem condições que possam verificá-la.
Afirmações que não tem significado não podem ser expressas como proposições. Todas as proposições podem ser testadas, sejam elas verdadeiras ou falsas.

Logo, esses é um sistema binário em que temos ciência e não ciência, e, por exemplo, mesmo que estando errado, o terra planismo se enquadraria em ciência por poder ser refutado.","Para Ayer, é ciência se puder ser expresso como:
a) Afirmações analíticas: são afirmações que são tautologias, ou seja, são necessariamente verdadeiras por definição.
b)Afirmações sintéticas(proposições empíricas): afirmações ou negações sobre algo do mundo real, que não são confirmadas apenas por definições e, portanto, necessitam ser testadas empiricamente para sua verificação.

Esse é um sistema binário em que temos apenas ciência e não ciência.","AYER, Alfred Jules. Linguagem, verdade e lógica. Lisboa: Presença, 1991.
https://en.wikipedia.org/wiki/Language,_Truth,_and_Logic","Alfred Jules Ayer foi um filósofo britânico nascido em 1910 e estudou na Universidade de Oxford. Ele destacou-se por suas contribuições fundamentais à filosofia da linguagem, à ética e por ser o grande popularizador do positivismo lógico no mundo anglófono, falecendo em 1989.",allan,sim
F02,Francis Bacon,"Bacon defende o método indutivo empírico, i.e. a observação de várias amostras variadas e a dedução de uma propriedade comum, com isso chegamos que é necessário uma quantidade adequada de testes para a observação e extração de dados e a conclusão de fatos cientificos. Então tecnicamente temos em conclusão que ciência para Bacon só é aquilo que podemos testar e chegar em conclusões através do metodo dedutivo. ",Não há método único; os padrões de validação científica evoluem historicamente.,"BACON, Francis. Novum organum e Nova Atlântida. São Paulo: Abril, 1973.","Francis Bacon, nascido em Londres em 22 de janeiro de 1561 e morreu em Londres até 9 de abril de 1626. Ele foi um político, filósofo empirista, cientista, ensaísta inglês, barão de Verulam e visconde de Saint Alban.",anizio,sim
F03,Mario Bunge,"Bunge define um campo cognitivo E por 10 características

E = (C, S, D, G, F, B, P, K, A, M),

C - Comunidade cognitiva
S = Sociedade hospedando C
G = Visão geral e visão de mundo da filosofia de C
D -Domínio ou universo de discurso de E: os objetos estudados por E
F = Base formal: ferramentas lógicas e matemáticas usadas em E
B = Base específica, conjunto de pressuposições sobre D vindas de outros campos do conhecimento além de E
P - Problemáticas, conjunto de problemas que E pode resolver
K = Fundo específico de conhecimento acumulado por E
A = Objetivos ou metas dos Cs no cultivo de E
M - Metódica ou coleção de métodos utilizáveis em E

Para Bunge, os campos cognitivos são divididos em duas categorias: Campos de Pesquisa, aquele que muda o tempo todo devido a pesquisa e os Campos de Crença, aqueles que, quando mudam, é devido a uma controvérsia ou revelação.

Mais detalhadamente:
- Os 10 componentes de E devem mudar devido à investigação
- A comunidade C tem treinamento especializado, fortes laços de pesquisa entre si e tradição de investigação
- A sociedade S incentiva ou tolera os componentes de C
- O domínio é exclusivamente de entidades reais (certificadas ou prováveis)
- A perspectiva geral é composta por uma ontologia de que o mundo é composto por coisas concretas que podem mudar, uma teoria realista do conhecimento, um sistema de valores, e um principio de busca livre pela verdade
- A Base formal F é uma coleção de teorias lógicas ou matemáticas 
- A Base específica é uma coleção de dados, hipóteses e teorias atualizadas obtidas em outros campos de conhecimento além de E
- A problemática P consiste em problemas relativos à natureza  dos componentes de D, bem como problemas relacionados a outros componentes de E
- K é uma coleção de teorias, hipóteses e dados atualizados e testáveis compatíveis com os de B e obtidos anteriormente
- Os objetivos A incluem descobrir ou usar as leis dos D's, sistematizar  hipóteses sobre D's e refinar os métodos em M.
- A metodologia M contém exclusivamente procedimentos verificáveis,
  analisáveis, criticáveis e justificáveis ​​explicáveis
- E é um componente de um contexto cognitivo mais amplo. Isto é, existe pelo menos
  um outro campo de pesquisa tal que os componentes de E' não estão vazios, e ou o
  domínio de um campo está incluído no do outro, ou cada membro do
  domínio de um deles é um componente de um sistema pertencente ao outro
  domínio.

Qualquer campo cognitivo que não satisfaça todas as doze condições acima será considerado não científico. 
E qualquer campo cognitivo que, embora não científico, seja divulgado como científico será considerado pseudocientífico.

Uma outra definição de pseudociência que Bunge propõe é a seguinte, qualquer campo cognitivo E que satisfaça as seguintes 12 condições é pseudociência

1- Os 10 componentes de E mudam pouco ao longo do tempo
2 - C é comunidade de crentes que se autodenominam cientistas,
    embora não realizem nenhuma prática científica
3 - S tolera ou apoia C por razões práticas
4 - O domínio D está coberto de entidades não reais
5 - G contém uma ontologia que admite processos imateriais, uma epistemologia que abre espaço para argumentos de autoridade, um sistema de valores não claro e uma ética de tende a defesa do dogma, incluindo engano se necessário
6 - F é modesto e não propriamente respeitado, incluindo modelos intestáveis
7 - B é pequeno ou nulo
8 - P inclui mais problemas práticos sobre vida humana do que problemas cognitivos
9 - K é estagnado e repleto de hipóteses falsas e intestáveis
10 - Os objetivos A de C são práticos em vez de cognitivos. E não incluem descoberta de leis ou a        sua utilização para compreender e prever fatos.
11 - A metódica M não é checável ou justificável e criticismo não é bem vindo
12- Não há outro campo cognitivo que contenha ou intersecte com E a não ser outras   pseudociências","Bunge caracteriza campos cognitivos em dois tipos: de pesquisa (ciência) e de crenças (não ciência ou pseudociência).

Todo campo cognitivo é composto por 10 componentes que descrevem a sua comunidade investigativa, métodos empregados e escopo de estudo.

C - Comunidade cognitiva
S - Sociedade hospedando C
G - Visão geral e visão de mundo da filosofia de C
D - Domínio ou universo de discurso de E: os objetos estudados por E
F - Base formal: ferramentas lógicas e matemáticas usadas em E
B - Base específica, conjunto de pressuposições sobre D vindas de outros campos do conhecimento além de E
P - Problemáticas, conjunto de problemas que E pode resolver
K - Fundo específico de conhecimento acumulado por E
A - Objetivos ou metas dos Cs no cultivo de E
M - Metódica ou coleção de métodos utilizáveis em E",Skeptical Inquirer,"Mario Bunge foi um físico e filósofo argentino nascido em 1919 e estudou na Universidade Nacional de La Plata. Ele destacou-se por suas contribuições fundamentais à filosofia da ciência, à ontologia e ao desenvolvimento do sistemismo materialista, falecendo em 2020.",felipe,sim
F04,Rudolf Carnap,"Para Carnap, a ciência é um conjunto de enunciados que possuem significado empírico, cujos termos teóricos podem ser reduzidos a observações práticas e que podem ser gradualmente confirmados.","Para Carnap, os critérios fundamentais são testabilidade e confirmabilidade.","CARNAP, Rudolf. Testability and Meaning. Philosophy of Science, v. 3, 1936.","Rudolf Carnap foi um filósofo alemão nascido em 1891 e estudou na Universidade de Jena. Ele destacou-se por suas contribuições fundamentais ao positivismo lógico, falecendo em 1970.",mariana,sim
F05,Alan F. Chalmers,"Para Alan F. Chalmers, não existe um critério universal e a-histórico de demarcação, pois não há um método único ou uma essência formal que defina a categoria ""ciência"". Ele defende que cada área do conhecimento desenvolve seus próprios métodos, objetivos e padrões de validação que evoluem historicamente, tornando inviável enquadrar todas as disciplinas sob uma regra metodológica singular ou um conjunto fixo de critérios observacionais.",Não há método único; os padrões de validação científica evoluem historicamente.,"CHALMERS, Alan F. A fabricação da ciência. São Paulo: Unesp, 1994.","Alan F. Chalmers é um filósofo britânico-australiano nascido em 1939 e estudou na Universidade de Londres. Ele destacou-se por suas contribuições fundamentais à filosofia da ciência, à história da física e à epistemologia.",allan,nao
F06,Martin Curd,"Para Curd, a busca por um critério de demarcação único é infrutífera porque a ciência não possui uma fronteira metodológica simples, sendo identificada por um conjunto de virtudes epistêmicas variadas.",Rejeita um critério único; a ciência caracteriza-se por múltiplas virtudes epistêmicas.,"CURD, Martin; COVER, J. A.; PINCOCK, Christopher (ORGS.). Philosophy of science: the central issues. Second edition, international student edition ed. New York London: W.W. Norton & Company, 2013.","Formado pela Universidade de Pittsburgh, o filósofo britânico Martin Curd (nascido em 1953) dedicou grande parte de sua carreira acadêmica ao ensino da racionalidade científica. Suas principais obras concentram-se na resolução de problemas epistemológicos e na questão da demarcação.",anizio,nao
F07,John Dupré,"Para Dupré, não há critério universal devido ao pluralismo epistêmico; a ciência é um agregado de práticas, métodos e ontologias regionais diversas que não compartilham uma essência unificadora.",Pluralismo epistêmico; não existe uma essência metodológica unificadora das práticas.,"DUPRÉ, John. The Disorder of Things: Metaphysical Foundations of the Disunity of Science. Cambridge: Harvard University Press, 1993.","O filósofo britânico John Dupré, nascido em 1952, concluiu seus estudos superiores na Universidade de Cambridge. Ele é amplamente reconhecido por sua incisiva defesa do pluralismo epistêmico e por suas investigações na intersecção entre a filosofia da biologia e a filosofia da ciência.",felipe,nao
F08,Paul Feyerabend,"Para Feyerabend, a definição de ciência não existe e o problema da demarcação é uma tentativa de sufocar as visões alternativas de mundo. Para ele, nunca houve um ""método científico"", e tentar resolver o critério da demarcação é prejudicial ao progresso do conhecimento. Nesse sentido, Feyerabend defendia o princípio do ""tudo-vale"" (anything goes).","Para Feyerabend, demarcar a ciência é prejudicial ao progresso do conhecimento. Ele defendia o anarquismo epistemológico e seguia o princípio do ""tudo-vale"" (anything goes).","FEYERABEND, Paul. Contra o método. São Paulo: Editora da Unesp, 2011.","Paul Feyerabend foi um filósofo da ciência austríaco nascido em 1924, e se doutorou na Universidade de Viena. Ele construiu grande parte de sua carreira na Universidade de Berkeley e ficou mundialmente conhecido por sua postura anarquista, até sua morte em 1994.",mariana,sim
F09,Martin Gardner,"Para Gardner é possível identificar se uma teoria é pseudociência observando o comportamento de seu autor. Ele considera que um charlatão(o que seria um autor de pseudociencia) possui algumas características marcantes:
1- Se considera um gênio;
2- Considera outros pesquisadores desonesto ou estupidos
3- Trabalha em isolamento ao invés de corroborar com outros pesquisadores e participar da comunidade científica
4- Acredita que há uma perseguição contra suas ideias, semelhante a que ocorreu com Galileo, podendo acreditar que há um clube secreto de cientistas que o persegue.
5- Normalmente, tenta atacar a atual corrente de pensamento mais forte
6- Tem a tendência a usar palavras complexas e de inventar palavras.

Assim, a ciência iria em oposto a essas características e um pesquisador teria de trabalhar em conjunto com outros pesquisadores, aceitando que suas teorias podem ser refutadas.
Não é um sistema binário, temos ciência, a fronteira, a pseudociência e a não ciência. A ciência seria marcada por teorias consolidadas, a fronteira por teorias novas ou controversas que ainda serão testadas pra se descobrir se são ciencia ou não, a pseudociência por crenças isoladas que ignoram evidências contrarias e a não ciência não tentaria se passar por ciência (exemplo: religião)
",Tenta definir caracterísca de um charlatão (pessoa que produziria pseudociência) e define a ciência em oposto a isso.,"GARDNER, Martin. Fads and fallacies in the name of science. 2. ed. rev. e ampl. New York: Dover Publications, 1957. 
https://en.wikipedia.org/wiki/Fads_and_Fallacies_in_the_Name_of_Science","Martin Gardner foi um escritor e divulgador científico estadunidense nascido em 1914 e estudou na Universidade de Chicago. Ele destacou-se por suas contribuições fundamentais à matemática recreativa e ao ceticismo científico (combatendo ativamente as pseudociências), falecendo em 2010.",allan,sim
F10,Sven Ove Hansson,"Para Sven Ove Hansson, a ciência não é um conjunto rígido de verdades, mas sim a prática humana dedicada a fornecer as afirmações mais confiáveis possíveis sobre o mundo em um dado momento.",A ciência não é um conjunto de fatos e sim verdades relativas ao contexto historico em que vivemos.,"HANSSON, Sven Ove. Science and Pseudo-Science. In: ZALTA, Edward N. (ed.). The Stanford Encyclopedia of Philosophy. Stanford: Metaphysics Research Lab, Stanford University, 2021.","Nasceu em 1951 na Suécia e ainda vive. Ele é professor de filosofia e pesquisador do Departamento de Filosofia e Historia da Tecnologia no Instituto Real de Tecnologia (KTH) em Estocolmo, Sweden",anizio,sim
