id_avaliacao,filosofo,id_filosofo,materia,id_materia,classificacao,cor,justificativa
A01,Mario Bunge,F03,Acupuntura,M01,Pseudociência,Vermelho,Seu domínio (D) baseia-se em entidades irreais e não comprovadas fisicamente (como meridianos e energia Qi). É isolada do conhecimento médico moderno (B = nulo) e sua metódica falha em comprovar a causalidade de seus efeitos além do placebo (11).
A02,Mario Bunge,F03,Alquimia,M02,Pseudociência,Vermelho,"Fundo de conhecimento estagnado e ontologia (G) que admite processos mágicos, sem intersecção com a física e química modernas (12)."
A03,Mario Bunge,F03,Antropologia Biológica,M03.1,Ciência,Verde,"Estuda entidades reais (evolução física), utiliza métodos empíricos verificáveis (M) e está fortemente integrada à biologia (B)."
A04,Mario Bunge,F03,Arqueologia,M03.2,Ciência,Verde,"Analisa entidades materiais (D) através de escavações e datações, usando metódica rigorosa (M) ligada à química e geologia."
A05,Mario Bunge,F03,Antropologia Cultural/Social,M03.3,Não Ciência,Cinza,"Foca na interpretação de significados, não possuindo o objetivo de descobrir leis físicas (A) e carecendo de base formal matemática estrita (F)."
A06,Mario Bunge,F03,Antropologia Linguística,M03.4,Não Ciência,Cinza,"Busca a construção social de sentido, sem a pretensão e a metódica empírica de formular leis naturais e preditivas do universo."
A07,Mario Bunge,F03,Artes Visuais,M04.1,Não Ciência,Cinza,"Seus objetivos (A) são expressivos e estéticos, não a formulação de leis naturais verificáveis sobre entidades materiais (D)."
A08,Mario Bunge,F03,Artes Cênicas,M04.2,Não Ciência,Cinza,"Foca na performance e na produção de sentido humano, prescindindo totalmente de bases lógico-matemáticas (F) e testes laboratoriais (M)."
A09,Mario Bunge,F03,Artes Musicais,M04.3,Não Ciência,Cinza,"Embora a acústica seja física, a prática musical é arte. Não busca descobrir leis fáticas universais através de metódica científica."
A10,Mario Bunge,F03,Artes Aplicadas e Design,M04.4,Não Ciência,Cinza,"Disciplinas focadas em solucionar problemas visuais e utilitários da vida prática (8, 10), não em pesquisa empírica de leis da natureza."
A11,Mario Bunge,F03,Astrologia,M05,Pseudociência,Vermelho,"Ocupa-se de premissas historicamente estagnadas (1) e opera de forma totalmente isolada de ciências genuínas como a astronomia e a física (12), sem usar metódica (M) verificável para justificar as supostas influências astrais."
A12,Mario Bunge,F03,Astronomia,M06,Ciência,Verde,Estuda um domínio puramente material (D) com base em forte instrumental matemático (F) e total intersecção teórica com a física (B).
A13,Mario Bunge,F03,Ecologia,M07.1,Ciência,Verde,Investiga ecossistemas concretos (D) com modelos estatísticos (F) e forte intersecção teórica com as ciências biológicas (B).
A14,Mario Bunge,F03,Biologia Molecular,M07.2,Ciência,Verde,"Opera de forma empírica com entidades factuais (D), buscando leis naturais (A) e atualizando frequentemente seu conhecimento (K) com experimentação exata."
A15,Mario Bunge,F03,Biorritmos,M08,Pseudociência,Vermelho,"Inventa um domínio irreal (ciclos fixos de nascimento), possui um corpo de conhecimento estagnado (1) e falha em se conectar com a biologia genuína (12)."
